搜索,搜索,Search,Rechercher,Suchen,Cerca,Buscar,Buscar,検索,검색
请选择需要宣言的卡片。,請選擇需要宣言的卡片。,Select A Card To Declare.,Sélectionnez une carte à déclarer.,Karte zum Deklarieren wählen,Seleziona Una Carta Da Dichiarare.,Declarar card.,Seleccione la carta a declarar.,宣言するカードを選択してください。,선언할 카드를 선택하세요.
请为我方的「[?]」选择位置。,請為我方的「[?]」選擇位置。,Select A Place For Your 「[?]」.,"Sélectionnez un endroit pour votre ""[?]"".",Position für deine „[?]“ wählen,Seleziona Una Zona Per 「[?]」,"Escolha a posição para seu ""[?]"".","Seleccione una zona de tu campo para activar/invocar/colocar la carta ""[?]"".",自分の「[?]」の位置を選択してください。,자신의 「[?]」에 대한 위치를 선택하세요.
请为对方的「[?]」选择位置。,請為對方的「[?]」選擇位置。,Select A Place For Opponent's 「[?]」.,"Sélectionnez un endroit pour le ""[?]"" de l'adversaire.",Position für Gegner-Karte „[?]“ wählen,Seleziona Una Zona Per 「[?]」 dell'Avversario,"Escolha a posição para ""[?]"" do oponente.","Seleccione una zona del campo de tu adversario para activar/invocar/colocar la carta ""[?]"".",相手の「[?]」の位置を選択してください。,상대의 「[?]」에 대한 위치를 선택하세요.
请选择表示形式,請選擇表示形式,Select Position,Sélectionnez Position,Position wählen,Seleziona Posizione,Escolha a posição,Seleccione la posición de batalla,表示形式を選んでください,표시 형식을 선택하세요
设置,設置,Set,Poser,Setzen,Posiziona,Baixar,Colocar,セット,세트
攻击,攻擊,Attack,Attaquer,Angreifen,Attacca,Ataque,Atacar,攻撃,공격
效果选择,效果選擇,Select Effect,Sélectionnez l'effet,Effekt wählen,Seleziona Effetto,Escolher Efeito,Selección de efecto,効果選択,효과 선택
选择效果,選擇效果,Select Effect,Sélectionnez l'effet,Effekt wählen,Seleziona Effetti,Selecionar Efeito,Selecciona un efecto,選択効果,선택 효과
选择效果发动。,選擇效果發動。,Select A Optional Effect To Activate.,Sélectionnez un effet facultatif à activer.,Optionalen Effekt zur Aktivierung wählen,Seleziona Un Effetto Opzionale Da Attivare.,Ativar Efeito Opcional.,Seleccione el efecto a activar (opcional).,発動する効果を選択してください。,발동할 효과를 선택하세요.
选择必发效果发动。,選擇必發效果發動。,Select A Mandatory Effect To Activate.,Sélectionnez un effet obligatoire à activer.,Pflicht-Effekt zur Aktivierung wählen,Seleziona Un Effetto Obbligatorio Da Attivare.,Ativar Efeito Obrigatório.,Seleccione el efecto a activar (obligatorio).,強制発動効果を選択してください。,강제 발동 효과를 선택하세요.
[?]，是否连锁？,[?]，是否連鎖？,"[?], Chain?","[?], Faire une Chaîne ?","„[?]“, Kette?","[?], Vuoi Mettere In Catena?",[?]. @nAtivar um efeito em Corrente?,[?] ¿Quieres encadenar?,[?]、チェインをしますか？,[?]，체인하겠습니까?
[?]，请选择效果发动。,[?]，請選擇效果發動。,"[?], Please To Select A Effect To Activate.","[?], Sélectionnez un effet à activer.","„[?]“, bitte Effekt wählen","[?], Seleziona Un Effetto Da Attivare.","[?], escolha efeito",[?] seleccione el efecto a activar.,[?]、発動する効果を選択してください。,[?]，발동할 효과를 선택하세요.
投降,投降,Surrend,Abandonner,Aufgeben,Arrenditi,Desistir,Rendirse,降参,항복
您确定要投降吗？,您确定要投降嗎？,Are You Sure You Want To Surrend?,Êtes-vous sûr de vouloir Abandonner ?,Willst du wirklich aufgeben?,Sei Sicuro Di Volerti Arrendere?,Confirmar desistência?,¿Estás seguro de que quieres rendirte?,降参しますか？,정말로 항복하시겠습니까？
您发起了投降。,您發起了投降。,You Surrendered.,Vous avez initié l'abandon.,Du hast aufgegeben.,Ti Sei Arreso.,Você desistiu.,Solicitas la rendición,自分が降参しました。,항복하였습니다.
队友发起了投降。,隊友,Your Teammate Surrendered.,Votre coéquipier a initié l'abandon.,Dein Teamkollege hat aufgegeben.,Il Tuo Compagno Di Squadra Si È Arreso.,Seu Aliado desistiu.,Tu compañero de equipo solicita la rendición,パートナーが降参しました。,파트너가 항복하였습니다.
退出观战,退出觀戰,Exit Spectate,Quitter le Spectateur,Zuschauermodus verlassen,Esci come Spettatore,Sair do Espectador,Salir de espectador,観戦終了,관전 종료
退出回放,退出回放,Exit Replay,Quitter le Replay,Replay verlassen,Esci dal Replay,Sair do Replay,Salir de repetición,再生終了,재생 종료
请耐心等待双方玩家更换副卡组。,請耐心等待雙方玩家更換副牌組。,Please Wait For Both Players To Change Their Side Deck.,Veuillez attendre que les deux joueurs changent de Side Deck.,"Bitte warte, bis beide Spieler ihr Side Deck angepasst haben",Attendi Che Entrambi I Giocatori Abbiano Terminato I Loro Cambi col Side Deck.,Aguarde os jogadores ajustarem seus Side Deck.,"Por favor, espera pacientemente a que ambos jugadores cambien sus Side Decks.",サイドデッキの変更を待ってください。,사이드 덱 변경을 기다려주세요.
确认卡片：[?],确認卡片：[?],Confirm Card: [?],Confirmer la carte : [?],Bestätigte Karte: [?],Conferma Carta: [?],Revele card: [?],Carta confirmada: [?],カード確認：[?],카드 확인：[?]
确认卡片：[?]张。,確認卡片：[?]張。,Confirm Cards: [?].,Confirmer les cartes : [?],Bestätigte Karten: [?],Conferma Carte: [?],Revele [?] cards.,Cartas confirmadas: [?] cartas.,カード確認：[?] 枚。,카드 확인：[?]장.
现在不能查看此处的卡片。,現在不能查看此處的卡片。,Cannot Check The Cards Here Now.,Impossible de vérifier les cartes maintenant.,Karten können hier momentan nicht eingesehen werden,Non Puoi Controllare Le Carte In Questo Momento.,Não é possível verificar cards agora.,No se puede ver la carta en estos momentos.,このカードは現在表示できません。,이 카드는 현재 표시할 수 없습니다.
更换副卡组成功，请等待对手更换副卡组。,更換副卡組成功，請等待對手更換副卡組。,The Adjustment of the Side Deck Was Successful. Please Wait for the Opponent to Change their Side Deck.,Le changement du Side Deck a réussi. Veuillez attendre que l'adversaire change de Side Deck.,Side Deck-Anpassung war erfolgreich. Bitte warte auf den Gegner.,I Cambi Col Side Deck Sono Stati Effettuati Con Successo. Attendi I Cambi Del Tuo Avversario.,"Side Deck alterado. Por favor, aguarde seu oponente terminar.","El intercambio con el Side Deck fue exitoso, por favor espere a que su adversario termine.",サイドデッキの交換に成功しました、相手のサイドデッキの交換をお待ちください。,사이드 덱 변경 성공. 상대의 사이드 덱 변경을 기다려주세요.
我方状态：[?],我方狀態：[?],My Status: [?],Mon statut : [?],Mein Status: [?],Stato: [?],Meu status: [?],"Ya usaste el efecto: ""[?]""; Efecto Bloqueado",自分の状態：[?],자신 상태: [?]
对方状态：[?],對方狀態：[?],Opponent's Status: [?],Statut de l'adversaire : [?],Gegnerstatus: [?],Stato Avversario: [?],Status do oponente: [?],"Tu adversario usó el efecto: ""[?]""; Efecto Bloqueado",相手の状態：[?],상대 상태: [?]
我方状态结束：[?],我方狀態結束：：[?],My Status End: [?],Fin de mon statut : [?],Mein Status Ende: [?],Stato Finale: [?],Meu status termina: [?],"Puedes usar nuevamente el efecto: ""[?]""; Efecto Desbloqueado",自分の状態終了：[?],자신 상태 종료: [?]
对方状态结束：[?],對方狀態結束：[?],Opponent's Status End: [?],Fin du statut de l'adversaire : [?],Gegnerstatus Ende: [?],Stato Finale Avversario: [?],Status do oponente termina: [?],"Tu adversario puede usar nuevamente el efecto: ""[?]""; Efecto Desbloqueado",相手の状態終了：[?],상대 상태 종료: [?]
不能确认墓地中的卡,不能確認墓地中的卡,Cannot Check the Cards in the Graveyard,Impossible de vérifier les cartes au Cimetière,Friedhof kann nicht eingesehen werden,Non è Possibile Controllare Le Carte nel Cimitero,Não pode verificar cards no Cemitério,No se pueden comprobar las cartas en el Cementerio,相手墓地のカードを確認できません,상대 묘지의 카드를 확인할 수 없습니다
#Tips,,,,,,,,,
请联系开发者修复这张特殊胜利的卡。,請聯繫開發者修復這張特殊勝利的卡。,Please Contact The Developers To Fix This Particular Victory Card.,Veuillez contacter le développeur pour corriger cette carte de victoire spéciale.,"Bitte kontaktiere die Entwickler, um diesen Sieg-Karteneffekt zu korrigieren.",Contatta Gli Sviluppatori Per Risolvere Gli Errori Di Questa Carta Vittoria.,Reporte aos desenvolvedores para que concertem este card de vitória especial.,Comuníquese con el desarrollador para corregir esta carta de victoria especial.,特殊勝利のカード修正を開発者にお知らせてください。,특수 승리 카드 수정을 개발자에게 알려주세요.
#Duel Log,,,,,,,,,
第[?]回合,第[?]回合,Turn [?],Tour [?],Zug [?],Turno [?],Turno [?],Turno [?],ターン [?],[?]턴
抽卡阶段,抽牌階段,Draw Phase,Draw Phase,Draw Phase,Draw Phase,Fase de Compra,Fase de Robo,ドローフェイズ,드로우 페이즈
准备阶段,准備階段,Standby Phase,Standy Phase,Standby Phase,Standy Phase,Fase de Apoio,Fase de Preparación,スタンバイフェイズ,스탠바이 페이즈
主要阶段1,主要階段1,Main Phase 1,Main Phase 1,Main Phase 1,Main Phase 1,Fase Principal 1,Fase Principal 1,メインフェイズ１,메인 페이즈1
战斗阶段,戰斗階段,Battle Phase,Battle Phase,Battle Phase,Battle Phase,Fase de Batalha,Fase de Batalla,バトルフェイズ,배틀 페이즈
主要阶段2,主要階段2,Main Phase 2,Main Phase 2,Main Phase 2,Main Phase 2,Fase Principal 2,Fase Principal 2,メインフェイズ２,메인 페이즈2
结束阶段,結束階段,End Phase,End Phase,End Phase,End Phase,Fase Final,Fase Final,エンドフェイズ,엔드 페이즈
抽卡,抽牌,Draw,Pioche,Ziehen,Pescare,Comprar,Robar,ドロー,드로우
送至,送至,To,Envoyer,Zu,Mandare,Enviar para,Enviar,送る,보내기
加入,加入,Add,Ajouter,Hinzufügen,Aggiungere,Adicionar,Añadir,加える,추가
回到,回到,Return,Renvoyer,Zurückgeben,Ritornare,Retornar,Devolver,戻す,되돌리기
回收,回收,Recycle,Recycler,Recyceln,Riciclare,Recuperar,Reciclar,回収,회수
发动,發動,Activate,Activer,Aktivieren,Attivare,Ativar,Activar FX,発動,발동
公开,公開,Show,Montrer,Zeigen,Mostrare,Revelar,Mostrar,公開,공개
公开手卡,公開手卡,Show Card (Hand),Montrer Carte (main),Karte zeigen (Hand),Mostrare La Carta (Mano),Revelar mão,Mostrar carta (Mano),手札公開,패 공개
公开盖卡,公開蓋卡,Show Card (Setted),Montrer Carte (Posée),Karte zeigen (gesetzt),Mostrare La Carta (Conosciuta),Revelar armadilha,Mostrar carta (Colocada),セットカード公開,세트 카드 공개
公开卡组,公開卡組,Show Card (Deck),Montrer Carte (Deck),Karte zeigen (Deck),Mostrare La Carta (Deck),Revelar deck,Mostrar carta (Deck),デッキ公開,덱 공개
代价,代價,Cost,Coût,Kosten,Costo,Custo,Costo,コスト,코스트
解放,解放,Release,Libérer,Freigeben,Offrire In Tributo,Oferecer como Tributo,Sacrificar,リリース,릴리스
破坏,破壞,Destroy,Détruire,Zerstören,Distruggere,Destruir,Destruir,破壊,파괴
盖放,蓋放,Set,Poser,Setzen,Posizionare,Baixar,Colocar,セット,세트
打开盖卡,打開蓋卡,Flip,Flip,Aufdecken,Scoprire,Virar,Voltear,リバース,리버스
放置,放置,Set,Poser,Setzen,Posizionare,Posicionar,Activar M/T,置く,배치
仪式召唤,儀式召喚,Ritual Summon,Invocation Rituelle,Ritualbeschwörung,Evocazione tramite Rituale,Invocação Ritual,Invocar por Ritual,儀式召喚,의식 소환
融合召唤,融合召喚,Fusion Summon,Invocation Fusion,Fusionsbeschwörung,Evocazione tramite Fusione,Invocação Fusão,Invocar por Fusión,融合召喚,융합 소환
同调召唤,同調召喚,Synchro Summon,Invocation Synchro,Synchrobeschwörung,Evocazione Synchro,Invocação Sincro,Invocar por Sincronía,シンクロ召喚,싱크로 소환
超量召唤,超量召喚,XYZ Summon,Invocation XYZ,XYZ-Beschwörung,Evocazione XYZ,Invocação Xyz,Invocar por XYZ,エクシーズ召喚,엑시즈 소환
连接召唤,連接召喚,Link Summon,Invocation Lien,Linkbeschwörung,Evocazione Link,Invocação Link,Invocar por Enlace,リンク召喚,링크 소환
连锁,連鎖,Chain,Chaîne,Kette,Catena,Corrente,Cadena,チェイン,체인
连锁结束,連鎖結束,Chain End,Fin de Chaîne,Kettenende,Fine Della Catena,Fim da Corrente,Fin de la Cadena,チェイン終了,체인 종료
效果处理,效果處理,Effect Processing,Traitement des effets,Effektverarbeitung,Risoluzione Dell'effetto,Resolver Efeito,Resolviendo Efecto,効果処理,효과 처리
处理结束,處理結束,Processing Completed,Traitement terminé,Verarbeitung abgeschlossen,Risoluzione Terminata,Efeito resolvido,Resolución Completada,処理完了,처리 완료
发动无效,發動無效,Activating Invalid,Activation invalide,Aktivierung ungültig,Attivazione Negata,Ativação negada,Activación Negada,発動無効,발동 무효
效果无效,效果無效,Effect Invalid,Effet invalide,Effekt ungültig,Effetto Negato,Efeito negado,Efecto Negado,効果無効,효과 무효
灵摆召唤结束,靈擺召喚結束,Pendulum Summon Completed,Invocation pendule terminée,Pendelbeschwörung abgeschlossen,Evocazione Pendulum Completata,Invocação Pêndulo Concluída,Invocación por Péndulo Finalizada,ペンデュラム召喚終了,펜듈럼 소환 종료
对象,對象,Target,Cible,Ziel,Bersagliare,Alvo,Seleccionar,対象,대상
伤害,傷害,Damage,Dommage,Schaden,Danno,Dano,Daño,ＬＰダメージ,LP 데미지
回复,回復,Restore,Restaurer,Heilung,Recuperare,Cura,Recuperar,ＬＰ回復,LP 회복
基本分改变,基本分改變,LP Change,Changement de LP,LP-Veränderung,Cambio Nei LP,PV alterados,LP Modificados,ＬＰ変化,LP 변경
更改表示形式,更改表示形式,Position Change,Changement de position,Positionswechsel,Cambio Della Posizione,Mudar posição,Cambiar Posición,表示形式変更,표시 형식 변경
移动,移動,Move,Déplacer,Verschieben,Muovere,Mover,Mover,移動,이동
转移控制权,轉移控制權,Control Transfer,Transfert de contrôle,Kontrolle übertragen,Cambiare Il Controllo,Mudar controle,Cambiar Control,コントロール変更,컨트롤 변경
攻击被无效,攻擊被無效,Negate Attack,Annulation d'Attaque,Angriff annullieren,Annulla Attacco,Negar Ataque,Negar Ataque,攻撃が無効化された,공격 무효
游戏出错，请重试。或者保存回放并联系开发者。,游戲出錯，請重試。或者保存回放並聯係開發者。,"Game error, please try again. Or save the Replay and contact the Developer.","Erreur dans le jeu, essaye à nouveau. Ou enregistre le replay et contacte le développeur.","Spielfehler, bitte versuchen Sie es erneut. Oder speichern Sie die Wiederholung und wenden Sie sich an den Entwickler.","Errore di gioco, prova di nuovo. Oppure salva il replay e contatta lo sviluppatore.","Erro de jogo, por favor tente novamente. Ou salve o replay e contate o desenvolvedor.","Error de juego, por favor, inténtalo de nuevo. O guarda la repetición y contacta al desarrollador.",ゲームエーラ発生、もう一度試してくださいまたはリプレイを保存して開発者に連絡してください,"게임 오류, 다시 시도해 주세요. 또는 리플레이를 저장하고 개발자에게 연락해주세요."
#Appearance,,,,,,,,,
决斗外观,決斗外觀,Duel Appearance,Apparence en Duel,Duell-Erscheinung,Aspetto Nel Duello,Aparência do Duelo,Aspecto del duelo,デュエルテーマ,듀얼 테마
观战外观,觀戰外觀,Spectate Appearance,Apparence en Spectateur,Zuschauer-Erscheinung,Aspetto Nella Modalità Spettatore,Aparência do Espectador,Aspecto del espectado,観戦テーマ,관전 테마
回放外观,回放外觀,Replay Appearance,Apparence en Replay,Wiederholungs-Erscheinung,Aspetto Nei Replay,Aparência da Repetição,Aspecto de la repetición,リプレイテーマ,리플레이 테마
卡组外观,卡組外觀,Deck Appearance,Apparence du Deck,Deck-Erscheinung,Aspetto Del Deck,Aparência do Deck,Aspecto del deck,アクセサリー変更,액세서리 변경
玩家名,玩家名,Player Name,Nom du joueur,Spielername,Nome Giocatore,Nome do Jogador,Nombre del jugador,プレイヤー名,플레이어명
壁纸,壁紙,Wallpapper,Fond d'écran,Hintergrundbild,Sfondo,Papel de Parede,Fondo de pantalla,壁紙,벽지
头像,頭像,Icon,Icône,Symbol,Avatar,Avatar,Ávatar,アイコン,아이콘
头像框,頭像框,Icon Frame,Cadre d'icône,Symbolrahmen,Cornice Avatar,Moldura do Avatar,Marco del ávatar,アイコンフレーム,아이콘 프레임
卡盒,卡盒,Card Case,Porte-cartes,Kartenhülle,Custodia,Porta-Cards,Estuche de cartas,カードケース,카드케이스
卡套,卡套,Card Protector,Protecteur de carte,Kartenschutzhülle,Busta Protettiva,Protetor de Cards,Cover de cartas,プロテクター,프로텍터
决斗场地,決斗場地,Duel Field,Terrain de Duel,Spielfeld,Terreno di Duello,Campo de Duelo,Escenario de duelo,デュエルフィールド,듀얼 필드
场地配件,場地配件,Field Parts,Parties de terrain,Spielfeld-Teile,Parti Del Terreno,Componentes de Campo,Accesorios del escenario,デュエルパーツ,필드 파츠
伙伴台,夥伴臺,Mate's Base,Base du Partenaire,Basis des Begleiters,Base Dell'assistente,Base de Colega,Mesa del compañero,メイト台,메이트 받침대
伙伴,夥伴,Mate,Partenaire,Begleiter,Assistente,Colega,Compañero,メイト,메이트
代表卡,代表卡,Three Main Cards,Trois cartes principales,Drei Hauptkarten,Tre Carte Principali,Três Cards Principais,Tres cartas principales,代表カード,대표 카드
正在设置,正在設置,Currently Active,Actuellement actif,Aktiv,Correntemente Attivo,Atualmente Ativo,Actualmente activo,アイテム名,아이템명
测试,測試,Test,Test,Test,Prova,Teste,Probar,テスト,테스트
我方,我方,Player,Joueur,Spieler,Giocatore,Jogador,Jugador,自分,자신
对方,對方,Opponent,Adversaire,Gegner,Avversario,Oponente,Adversario,相手,상대
我方队友,我方隊友,Your Teammate,Votre coéquipier,Dein Teamkollege,Compagno Di Squadra,Seu Aliado,Compañero,味方パートナー,자신 파트너
对方队友,對方隊友,Opponent's Teammate,Coéquipier de l'adversaire,Gegnerischer Teamkollege,Compagno Di Squadra Avversario,Aliado do Oponente,Compañero del Adversario,相手パートナー,상대 파트너
请输入您的昵称：,請輸入您的暱稱：,Please Enter Your Player Name：,Veuillez entrer votre nom de joueur :,Bitte gib deinen Spielernamen ein:,Inserisci Il Tuo Nome Giocatore：,Insira seu Nome:,Ingresa tu nombre:,プレイヤー名を入力：,플레이어명 입력：
请输入对方的昵称，留空则显示真实昵称：,請輸入對方的暱稱，留空則顯示眞實暱稱：,Nickname to Overwrite Your Opponent's Player Name：,Surnom pour écraser le nom du joueur de votre adversaire :,Spitzname zur Ersetzung des Namens deines Gegners:,Sovrascrivi Il Nome Del'avversario：,Insira o apelido do oponente @n(deixe em branco para exibir o nome real):,Ingresa el nombre de tu adversario:,相手のプレイヤー名を入力：,상대 플레이어명 입력：
请输入您的队友的昵称，留空则显示真实昵称：,請輸入您的隊友的暱稱，留空則顯示眞實暱稱：,Nickname to Overwrite your Teammate's Player Name：,Surnom pour écraser le nom de joueur de votre coéquipier :,Spitzname zur Ersetzung des Namens deines Teamkollegen:,Sovrascrivi Il Nome Del Tuo Compagno Di Squadra：,Insira o apelido do seu companheiro de equipe @n(deixe em branco para exibir o nome real):,Ingresa el nombre de tu compañero:,味方のパートナー名を入力：,자신 파트너명 입력：
请输入对方的队友的昵称，留空则显示真实昵称：,請輸入對方的隊友的暱稱，留空則顯示眞實暱稱：,Nickname to Overwrite your Opponent's Teammate's Player Name：,Surnom pour écraser le nom de joueur du coéquipier de votre adversaire :,Spitzname zur Ersetzung des Namens des gegnerischen Teamkollegen:,Sovrascrivi Il Nome Del Compagno Di Squadra Avversario：,Insira o apelido do companheiro de equipe do oponente @n(deixe em branco para exibir o nome real):,Ingresa el nombre del compañero de tu adversario:,相手パートナーのプレイヤー名を入力：,상대 파트너 플레이어명 입력：
由「[?]」投稿。,由「[?]」投稿。,Contributed by 「[?]」.,"Contribution de ""[?]"".",Beigetragen von „[?]“.,Pubblicato Da 「[?]」.,"Enviado por ""[?]"".","Publicado por ""[?]""",「[?]」が投稿した。,「[?]」이(가) 투고했습니다.
随机,隨機,Random,Aléatoire,Zufällig,Casuale,Aleatório,Aleatorio,ランダム,랜덤
该项设置将随机设置。,該項設定將隨機設定。,Set it to Random.,Réglez-le sur Aléatoire.,Zufällig festlegen,Impostalo Casualmente.,Será definido aleatoriamente.,Esta configuración se establecerá aleatoriamente.,この設置をランダムにする。,이 설정을 랜덤으로 하기
一致,一致,Matches the Duel Field,Correspondre au terrain de Duel,Zum Spielfeld passend,Abbinato Col Terreno Duello,Consistente,Coincide con el escenario,一致,일치
该项设置将与场地设置保持一致。,該項設置將與場地設置保持一致。,This will Match with the Duel Field.,Cela correspondra au terrain de Duel.,Entspricht dem Spielfeld,Questo si Abbinerà al Terreno di Duello Scelto.,Esta configuração será consistente com as configurações do Campo.,Esta configuración coincidirá con la del escenario de duelo.,この設置はフィールドテーマと一致にする。,이 설정은 필트 테마와 일치합니다.
该项设置将与我方场地设置保持一致。,該項設置將與我方場地設置保持一致。,This will Match with My Duel Field.,Cela correspondra à mon terrain de Duel.,Entspricht meinem Spielfeld,Questo si Abbinerà al mio Terreno di Duello Scelto.,Esta configuração será consistente com as configurações do Campo aliado.,Esto coincidirá con mi campo de duelo.,この設置は自分のフィールドテーマと一致にする。,이 설정은 자신 필드 테마와 일치합니다.
不设置,不設定,No Image,Pas d'image,Kein Bild,Nessuna Immagine,Não definir,Sin Imagen,設置しない,설정 없음
该项设置将设置为无。,該項設定將設定為無。,"This Setting will be Set to ""No Image"".","Ce paramètre sera défini sur ""Pas d'image"".",Diese Einstellung wird auf „Kein Bild“ gesetzt.,"Questa Impostazione Verrà Posizionata Su ""Nessuna Immagine""","Esta configuração será definida como ""Nenhuma"".","Esta configuración se establecerá en ""Sin Imagen"".",設置を無しにする。,설정은 없음으로 합니다.
卡组设置为准,牌組設置為准,Use Deck Appearance,Paramètres du Deck,Deck-Erscheinungsbild verwenden,Usa l'aspetto del Deck,Usar Aparência do Deck,Usar la Apariencia del Deck,デッキ設定を反映する,덱 외형을 사용
覆盖卡组设置,覆蓋卡組設置,Override Deck Appearance,Remplacer l'apparence du Deck,Deck-Erscheinung überschreiben,Sovrascrivere Le Impostazioni Del Deck,Substituir Configurações do Deck,Anular Apariencia del Deck,ゲーム設定を反映する,덱 설정 덮어쓰기
自定义,自定義,DIY,Personnalisé,Benutzerdefiniert (DIY),Fai-Da-Te,Personalizar,DIY,カスタマイズ,사용자 지정
我方头像：,我方頭像：,My Avatar:,Mon avatar :,Mein Avatar:,Il Mio Avatar:,Meu Avatar:,Mi Ávatar:,自分のアバター：,자신의 아바타:
对方头像：,對方頭像：,OP Avatar:,Avatar adv. :,Avatar des Gegners:,Avatar Avversario:,Avatar do Oponente:,Ávatar del Op:,相手のアバター：,상대의 아바타:
我方队友头像：,我方隊友頭像：,My Tag Avatar:,Mon avatar Tag :,Avatar meines Partners:,Avatar Compagno:,Avatar do Aliado:,Mi Tag Ávatar:,味方パートナーのアバター：,자신 파트너의 아바타:
对方队友头像：,對方隊友頭像：,OP Tag Avatar:,Avatar Tag Adv. :,Avatar des gegnerischen Partners:,Avatar Compagno Avversario:,Avatar do Aliado do Oponente:,Tag Ávatar del Op:,相手パートナーのアバター：,상대 파트너의 아바타:
#Character,,,,,,,,,
决斗角色,決斗角色,Characters in Duel,Personnages en Duel,Charaktere im Duell,Personaggi Nel Duello,Personagem do Duelo,Personajes de Duelo,デュエルキャラクター,듀얼 캐릭터
观战角色,觀戰角色,Characters in Spectate,Personnages en Spectateur,Charaktere beim Zuschauen,Personaggi Nella Modalità Spettatore,Personagem do Espectador,Personajes de Espectador,観戦キャラクター,관전 캐릭터
回放角色,回放角色,Characters in Replay,Personnages en Replay,Charaktere in der Wiederholung,Personaggi Nel Replay,Personagem do Replay,Personajes de Repetición,リプレイキャラクター,리플레이 캐릭터
#Online Deck,,,,,,,,,
在线卡组,在線牌組,Online Deck,Deck en ligne,Online-Deck,Deck Online,Decks Online,Decks Online,オンラインデッキ,온라인 덱
搜索作者,搜索作者,Search Author,Recherche Auteur,Autor suchen,Cerca Autore,Buscar Autor,Buscar Autor,作者を検索する,작성자 검색
上传卡组错误,上傳牌組錯誤,Error Loading Deck,Erreur de chargement du Deck,Fehler beim Laden des Decks,Errore Nel Caricamento Del Deck,Falha ao Carregar Deck,Error al cargar el deck,デッキアップロードがエラー発生,덱 업로드 오류 발생
没有传入贡献者,沒有傳入貢獻者,No Author Information,Aucune information sur l'auteur,Keine Autoreninformationen,Nessuna Informazione Sull'autore,Sem Informações do Autor,No hay información del autor,作者名がアップロードしていません,작성자명이 업로드되지 않았습니다
没有传入卡组 ID,沒有傳入牌組ID,No Deck ID Info,Pas d'informations d'ID de Deck,Keine Deck-ID-Informationen,Nessuna Informazione Sull'ID Del Deck,Sem Informações de ID do Deck,No hay información del ID del deck,デッキＩＤがアップロードしてません,덱 ID가 업로드되지 않았습니다
没有传入卡组名称,沒有傳入牌組名稱,No Deck Name,Pas de nom de Deck,Kein Deckname,Nessun Nome Del Deck,Sem Nome de Deck,No hay nombre del deck,デッキ名がアップロードしていません,덱 이름이 업로드되지 않았습니다
没有传入 YDK 内容,沒有傳入YDK內容,The Content of the YDK is empty,Le contenu du YDK est vide,Der Inhalt der YDK-Datei ist leer,Non Vi È Alcun Contenuto All'interno Del File YDK,Conteúdo do YDK vazio,El contenido YDK está vacío,ＹＤＫ 内容がアップロードしていません,YDK 내용이 업로드되지 않았습니다
YDK 内容不合法，主卡组必须满 40 张,YDK內容不合法，主牌組必須滿40張,"YDK content is Illegal, The Main Deck must Have at Least 40 cards",Le contenu YDK est illégal,YDK-Inhalt ungültig – das Hauptdeck muss mindestens 40 Karten enthalten,"Il Contenuto Del File YDK è Anomalo, Il Main Deck Deve Contenere Almeno 40 Carte","YDK inválido, o Deck Principal deve conter pelo menos 40 cards","El contenido YDK es ilegal, el deck principal debe tener al menos 40 cartas.",ＹＤＫ デッキのカード枚数が不正です，４０枚以上は必須です。,YDK 덱 카드 장수가 올바르지 않습니다. 40장 이상은 필수입니다.
更新卡组错误,更新牌組錯誤,Error Updating the Deck,Erreur lors de la mise à jour du Deck,Fehler beim Aktualisieren des Decks,Errore Nel Caricamento Del Deck,Erro ao atualizar Deck,Error al actualizar el deck,デッキ更新エラー,덱 갱신 오류
删除卡组错误,刪除牌組錯誤,Error Deleting the Deck,Erreur lors de la suppression du Deck,Fehler beim Löschen des Decks,Errore Nella Cancellazione Del Deck,Erro ao excluir Deck,Error al eliminar el deck,デッキ削除エラー,덱 삭제 오류
卡组不存在,牌組不存在,The Deck does not Exist,Le Deck n'existe pas,Das Deck existiert nicht,Il Deck Non Esiste,Deck não existe,El deck no existe,デッキは存在しません,덱이 존재하지 않습니다
点赞过于频繁，请于 10 分钟后再试,點贊過於頻繁，請於10分鐘後再試,You have Clicked “Like” too many times in a row. Try again in 10 minutes.,"Vous avez cliqué sur ""J'aime"" trop de fois de suite. Réessayez dans 10 minutes.",Du hast zu oft hintereinander auf „Gefällt mir“ geklickt. Versuche es in 10 Minuten erneut.,Hai Premuto “Mi Piace” Troppo Frequentemente. Riprova Tra 10 Minuti.,Curtidas em excesso (aguarde 10min).,"Haz hecho clic en ""Me gusta"" muchas veses seguidas. Vuelve a intentarlo en 10 minutos.",「いいね！」の頻度が高すぎるため、１０分後にもう一度お試しください。,"「좋아요!」의 빈도가 너무 높기 때문에, 10분 후 다시 시도하세요."
请求来源不正确,請求來源不正確,The Origin of the Request is Incorrect.,L'origine de la demande est incorrecte.,Ungültiger Ursprung der Anfrage,L'origine Della Richiesta Non È Corretta.,Origem inválida.,El origen de la solicitud es incorrecto.,リクエスト先が間違っています,리퀘스트 출처가 틀렸습니다
